domain	enst_id	chrom	strand	chromStart	chromEnd	cdsStart	cdsEnd	domain_count	domain_start	domain_end	part_type	source
RNF141__RNF141, RING finger, HC subclass	ENST00000265981	chr11	-	10511673	10541230	10534158	10514916	2	10519034,10515033	10519116,10515066	domain	cdd
RNF141__Zinc finger, RING-type	ENST00000265981	chr11	-	10511673	10541230	10534158	10514916	2	10519034,10515033	10519113,10515066	domain	profile,pfam,smart
RNF141__Zinc finger, RING-type, conserved site	ENST00000265981	chr11	-	10511673	10541230	10534158	10514916	1	10519042	10519071	conserved_site	prosite
LRRK2__Armadillo-like helical	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	18	40225153,40225555,40232274,40235626,40237969,40240483,40243550,40249826,40251232,40251321,40251465,40252910,40257248,40259480,40263789,40274583,40274854,40277888	40225282,40225640,40232383,40235714,40238103,40240617,40243681,40249945,40251284,40251374,40251544,40253016,40257377,40259604,40263901,40274727,40274993,40277914	homologous_superfamily	cathgene3d
LRRK2__Armadillo-type fold	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	16	40225234,40225555,40232274,40235626,40237969,40240483,40243550,40249826,40251232,40251465,40252910,40257248,40259480,40263789,40274583,40274854	40225282,40225640,40232383,40235714,40238103,40240617,40243681,40249945,40251374,40251544,40253016,40257377,40259604,40263901,40274727,40274891	homologous_superfamily	ssf
LRRK2__Ankyrin repeat-containing domain superfamily	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	3	40277915,40278091,40283875	40278016,40278261,40284042	homologous_superfamily	cathgene3d,ssf
LRRK2__Leucine-rich repeat domain superfamily	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	9	40294854,40295427,40298243,40299109,40302789,40302794,40303948,40305785,40308467	40294914,40295644,40298493,40299257,40302793,40302882,40304134,40305966,40308509	homologous_superfamily	cathgene3d
LRRK2__Leucine-rich repeat, typical subtype	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	10	40295576,40298243,40298246,40298390,40299143,40302875,40303948,40304087,40305785,40305806	40295644,40298245,40298317,40298461,40299214,40302882,40304014,40304134,40305805,40305880	repeat	smart
LRRK2__Leucine-rich repeat	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	9	40295582,40298243,40298468,40299109,40299149,40302881,40303948,40304093,40305785	40295644,40298356,40298493,40299148,40299211,40302882,40304011,40304134,40305808	repeat	pfam,profile
LRRK2__Leucine rich repeat 4	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	2	40304093,40305785	40304134,40305862	repeat	pfam
LRRK2__Roc domain	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	3	40308489,40309106,40310431	40308696,40309233,40310646	domain	profile
LRRK2__P-loop containing nucleoside triphosphate hydrolase	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	4	40308504,40309106,40310431,40313972	40308696,40309233,40310649,40313983	homologous_superfamily	cathgene3d,ssf
LRRK2__Small GTP-binding protein domain	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	3	40308507,40309106,40310431	40308696,40309233,40310529	domain	tigrfams
LRRK2__C-terminal of Roc (COR) domain	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	5	40314068,40315212,40319988,40321034,40322035	40314173,40315300,40320175,40321188,40322084	domain	pfam
LRRK2__Protein kinase domain	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	7	40323285,40328360,40334967,40340294,40346753,40348409,40351539	40323306,40328460,40335157,40340454,40346923,40348509,40351571	domain	profile,pfam,smart
LRRK2__Protein kinase-like domain superfamily	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	7	40323300,40328360,40334967,40340294,40346753,40348409,40351539	40323306,40328460,40335157,40340454,40346923,40348509,40351553	homologous_superfamily	ssf
LRRK2__Protein kinase, ATP binding site	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	2	40323303,40328360	40323306,40328421	binding_site	prosite
LRRK2__Serine/threonine-protein kinase, active site	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	1	40340313	40340351	active_site	prosite
LRRK2__WD40/YVTN repeat-like-containing domain superfamily	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	8	40351620,40354299,40356115,40359260,40363402,40364842,40367006,40367644	40351733,40354492,40356187,40359444,40363554,40365050,40367077,40367741	homologous_superfamily	cathgene3d
LRRK2__WD40-repeat-containing domain superfamily	ENST00000298910	chr12	+	40196744	40369285	40225132	40367765	7	40354311,40356115,40359260,40363402,40364842,40367006,40367644	40354492,40356187,40359444,40363554,40365050,40367077,40367672	homologous_superfamily	ssf
GXYLT1__Nucleotide-diphospho-sugar transferases	ENST00000398675	chr12	-	42081845	42144874	42144646	42087786	6	42119000,42109566,42105818,42097910,42097442,42087936	42119140,42109691,42106069,42098033,42097614,42087947	homologous_superfamily	ssf,cathgene3d
GXYLT1__Glycosyl transferase, family 8	ENST00000398675	chr12	-	42081845	42144874	42144646	42087786	4	42109566,42105818,42097910,42097571	42109658,42106069,42098033,42097614	family	pfam
FBRSL1__Autism susceptibility gene 2 protein	ENST00000680143	chr12	+	132489551	132585188	132490571	132583778	19	132490757,132508153,132525734,132527953,132548003,132567481,132569926,132570335,132571068,132572288,132572527,132574090,132574319,132574493,132576799,132581439,132581741,132582062,132582971	132490861,132508350,132525823,132527988,132548032,132567526,132570241,132570540,132571231,132572344,132572622,132574158,132574348,132574564,132576931,132581516,132581824,132582266,132583904	family	prints,pfam,panther
SCAF11__Zinc finger, RING/FYVE/PHD-type	ENST00000369367	chr12	-	45919131	45992120	45964167	45922048	5	45964107,45961700,45951650,45948437,45945304	45964122,45961857,45951727,45948537,45945313	homologous_superfamily	cathgene3d
SCAF11__Zinc finger, RING-type	ENST00000369367	chr12	-	45919131	45992120	45964167	45922048	2	45961700,45951701	45961798,45951727	domain	profile,pfam,smart
SCAF11__Zinc finger, RING-type, conserved site	ENST00000369367	chr12	-	45919131	45992120	45964167	45922048	1	45961715	45961744	conserved_site	prosite
HIP1R__ENTH/VHS	ENST00000253083	chr12	+	122834453	122862961	122835551	122861753	6	122835605,122848031,122848466,122848796,122849875,122850835	122835643,122848094,122848608,122848852,122849955,122850840	homologous_superfamily	cathgene3d,ssf
HIP1R__ENTH  domain	ENST00000253083	chr12	+	122834453	122862961	122835551	122861753	6	122835617,122848031,122848466,122848796,122849875,122850835	122835643,122848094,122848608,122848852,122849955,122850849	domain	profile,pfam,smart
HIP1R__AP180 N-terminal homology (ANTH) domain	ENST00000253083	chr12	+	122834453	122862961	122835551	122861753	11	122835641,122848031,122848466,122848796,122849875,122850835,122851236,122854043,122854905,122855053,122855265	122835643,122848094,122848608,122848852,122849955,122850911,122851297,122854183,122854962,122855128,122855297	domain	pfam
HIP1R__Sla2 family	ENST00000253083	chr12	+	122834453	122862961	122835551	122861753	31	122835641,122848031,122848466,122848796,122849875,122850835,122851236,122854043,122854905,122855053,122855265,122855551,122855831,122855980,122856256,122856432,122856625,122857021,122858102,122858349,122858838,122859061,122859426,122859772,122860047,122860148,122860423,122860679,122860916,122861131,122861308	122835643,122848094,122848608,122848852,122849955,122850911,122851297,122854183,122854962,122855128,122855405,122855612,122855903,122856163,122856344,122856548,122856726,122857215,122858249,122858435,122858945,122859197,122859536,122859830,122860077,122860210,122860523,122860784,122861039,122861192,122861433	family	panther
HIP1R__Huntingtin-interacting protein 1-related protein	ENST00000253083	chr12	+	122834453	122862961	122835551	122861753	31	122835641,122848031,122848466,122848796,122849875,122850835,122851236,122854043,122854905,122855053,122855265,122855551,122855831,122855980,122856256,122856432,122856625,122857021,122858102,122858349,122858838,122859061,122859426,122859772,122860047,122860148,122860423,122860679,122860916,122861131,122861308	122835643,122848094,122848608,122848852,122849955,122850911,122851297,122854183,122854962,122855128,122855405,122855612,122855903,122856163,122856344,122856548,122856726,122857215,122858249,122858435,122858945,122859197,122859536,122859830,122860077,122860210,122860523,122860784,122861039,122861192,122861433	family	panther
HIP1R__Huntingtin-interacting protein 1, clathrin-binding domain	ENST00000253083	chr12	+	122834453	122862961	122835551	122861753	4	122856324,122856432,122856625,122857021	122856344,122856548,122856726,122857077	domain	pfam
HIP1R__I/LWEQ domain	ENST00000253083	chr12	+	122834453	122862961	122835551	122861753	9	122859441,122859772,122860047,122860148,122860423,122860679,122860916,122861131,122861308	122859536,122859830,122860077,122860210,122860523,122860784,122861039,122861192,122861391	domain	profile,pfam,smart
HIP1R__I/LWEQ domain superfamily	ENST00000253083	chr12	+	122834453	122862961	122835551	122861753	8	122859450,122859772,122860047,122860148,122860423,122860679,122860916,122861131	122859536,122859830,122860077,122860210,122860523,122860784,122861039,122861135	homologous_superfamily	ssf
FGD4__Dbl homology (DH) domain superfamily	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	3	32582048,32598497,32601278	32582467,32598586,32601409	homologous_superfamily	ssf,cathgene3d
FGD4__Dbl homology (DH) domain	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	3	32582072,32598497,32601278	32582467,32598586,32601355	domain	cdd,profile,pfam,smart
FGD4__PH-like domain superfamily	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	9	32601416,32602161,32607957,32610776,32611137,32624429,32624976,32625654,32633549	32601423,32602317,32608095,32610834,32611175,32624452,32625068,32625779,32633593	homologous_superfamily	cathgene3d
FGD4__Pleckstrin homology domain	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	7	32602177,32607957,32610776,32624426,32624976,32625654,32633549	32602317,32608095,32610801,32624452,32625068,32625779,32633602	domain	pfam,profile,smart
FGD4__FGD4, N-terminal PH domain	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	3	32602180,32607957,32610776	32602317,32608095,32610780	domain	cdd
FGD4__Zinc finger, RING/FYVE/PHD-type	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	2	32611176,32619698	32611283,32619841	homologous_superfamily	cathgene3d
FGD4__FYVE zinc finger	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	2	32611185,32619698	32611283,32619808	domain	pfam,smart
FGD4__Zinc finger, FYVE-related	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	2	32611209,32619698	32611283,32619805	domain	profile
FGD4__FGD1-4, C-terminal PH domain	ENST00000534526	chr12	+	32399558	32646050	32399794	32640533	5	32619857,32624422,32624976,32625654,32633549	32619870,32624452,32625068,32625779,32633593	domain	cdd
CNTN1__Contactin-1	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	23	40908433,40910073,40918639,40922256,40924557,40929796,40933461,40933697,40936781,40937570,40939335,40943597,40943995,40959114,40980909,40993120,41014228,41016682,41020337,41025150,41027857,41029063,41069959	40908493,40910105,40918771,40922428,40924652,40930002,40933560,40933878,40936905,40937687,40939485,40943724,40944170,40959234,40981067,40993269,41014298,41016916,41020440,41025336,41027969,41029219,41070032	family	panther
CNTN1__Immunoglobulin-like fold	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	28	40918656,40922256,40922422,40924557,40929796,40933461,40933466,40933697,40936781,40936783,40937570,40939335,40939337,40943597,40943724,40943995,40959114,40980909,40980923,40993120,40993263,41014228,41016682,41020357,41025150,41025333,41027857,41029063	40918771,40922421,40922428,40924652,40930002,40933465,40933560,40933878,40936782,40936905,40937687,40939336,40939485,40943723,40943724,40944170,40959234,40980922,40981067,40993259,40993269,41014298,41016915,41020440,41025323,41025336,41027969,41029218	homologous_superfamily	cathgene3d
CNTN1__Immunoglobulin-like domain	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	12	40918665,40922256,40924565,40929796,40933478,40933697,40936786,40937570,40939343,40943597,40943997,40959114	40918771,40922421,40924652,40929968,40933560,40933871,40936905,40937680,40939485,40943717,40944170,40959233	domain	pfam,profile
CNTN1__Immunoglobulin subtype	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	12	40918692,40922256,40924583,40929796,40933499,40933697,40936804,40937570,40939367,40943597,40944018,40959114	40918771,40922427,40924652,40929995,40933560,40933877,40936905,40937686,40939485,40943723,40944170,40959233	domain	smart
CNTN1__Immunoglobulin subtype 2	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	10	40918710,40922256,40933517,40933697,40936822,40937570,40939385,40943597,40944036,40959114	40918771,40922391,40933560,40933844,40936905,40937653,40939485,40943690,40944170,40959200	domain	smart
CNTN1__Immunoglobulin-like domain superfamily	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	16	40918713,40922256,40924562,40929796,40933475,40933697,40936781,40933872,40936781,40937570,40939340,40943597,40943995,40943997,40959114,40980909	40918771,40922424,40924652,40929968,40933560,40933878,40936797,40933878,40936905,40937686,40939485,40943724,40944014,40944170,40959234,40980928	homologous_superfamily	ssf
CNTN1__Immunoglobulin I-set	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	4	40933487,40933697,40939370,40943597	40933560,40933868,40939485,40943717	domain	pfam
CNTN1__Fibronectin type III superfamily	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	10	40959234,40980909,40993120,41014228,41016682,41020337,41020339,41025150,41027857,41029063	40959234,40981067,40993269,41014298,41016916,41020341,41020440,41025336,41027969,41029209	homologous_superfamily	ssf
CNTN1__Fibronectin type III	ENST00000551295	chr12	+	40692439	41072415	40908433	41070035	10	40980914,40993120,41014233,41016682,41020342,41025150,41027857,41027859,41029063,41069959	40981067,40993268,41014298,41016915,41020440,41025336,41027864,41027969,41029219,41069978	domain	profile,cdd,pfam,smart
MBNL2__Zinc finger, CCCH-type	ENST00000679496	chr13	+	97221434	97394120	97276236	97391449	6	97276272,97276374,97334276,97343202,97346804,97346897	97276358,97276409,97334320,97343216,97346875,97346977	domain	profile,pfam,smart
CAB39L__Mo25-like	ENST00000409308	chr13	-	49308650	49444064	49382910	49310814	8	49382800,49376967,49359714,49350744,49344179,49339677,49331947,49310817	49382904,49377131,49359832,49350912,49344238,49339742,49332090,49310993	family	pfam,panther
CAB39L__Armadillo-type fold	ENST00000409308	chr13	-	49308650	49444064	49382910	49310814	8	49382800,49376967,49359714,49350744,49344179,49339677,49331947,49310826	49382877,49377131,49359832,49350912,49344238,49339742,49332090,49310993	homologous_superfamily	ssf
CAB39L__Armadillo-like helical	ENST00000409308	chr13	-	49308650	49444064	49382910	49310814	8	49382800,49376967,49359714,49350744,49344179,49339677,49331947,49310832	49382868,49377131,49359832,49350912,49344238,49339742,49332090,49310993	homologous_superfamily	cathgene3d
MIPOL1__Mirror-image polydactyly gene 1 protein	ENST00000684589	chr14	+	37197894	37579125	37247889	37546971	10	37266961,37268658,37270420,37285318,37308056,37308349,37369517,37422855,37499908,37546905	37267169,37268793,37270525,37285447,37308089,37308519,37369624,37422949,37500138,37546935	family	panther
RPS6KL1__Ribosomal protein S6 kinase-like 1	ENST00000557413	chr14	-	74903951	74923302	74921541	74907014	10	74921277,74919845,74918513,74911794,74911248,74909543,74909101,74908850,74907435,74907017	74921505,74919969,74918605,74911841,74911380,74910148,74909190,74908932,74907530,74907124	family	panther
RPS6KL1__MIT domain superfamily	ENST00000557413	chr14	-	74903951	74923302	74921541	74907014	3	74921277,74919845,74918573	74921412,74919969,74918605	homologous_superfamily	ssf
RPS6KL1__MIT domain	ENST00000557413	chr14	-	74903951	74923302	74921541	74907014	2	74921277,74919872	74921406,74919969	domain	pfam,smart
RPS6KL1__Protein kinase domain	ENST00000557413	chr14	-	74903951	74923302	74921541	74907014	8	74918513,74911794,74911248,74909543,74909101,74908850,74907435,74907047	74918563,74911841,74911380,74910148,74909190,74908932,74907530,74907124	domain	profile,pfam,smart
RPS6KL1__RPK118-like, kinase domain	ENST00000557413	chr14	-	74903951	74923302	74921541	74907014	8	74918513,74911794,74911248,74909543,74909101,74908850,74907435,74907047	74918554,74911841,74911380,74910148,74909190,74908932,74907530,74907124	domain	cdd
RPS6KL1__Protein kinase-like domain superfamily	ENST00000557413	chr14	-	74903951	74923302	74921541	74907014	8	74918513,74911794,74911248,74909543,74909101,74908850,74907435,74907026	74918515,74911841,74911380,74910148,74909190,74908932,74907530,74907124	homologous_superfamily	ssf
GCH1__GTP cyclohydrolase I	ENST00000491895	chr14	-	54842008	54902826	54902663	54844017	6	54902321,54865327,54859681,54847099,54845768,54844020	54902663,54865436,54859736,54847130,54845852,54844143	family	hamap,panther,tigrfams
GCH1__GTP cyclohydrolase I, N-terminal domain	ENST00000491895	chr14	-	54842008	54902826	54902663	54844017	2	54902321,54865432	54902495,54865436	homologous_superfamily	cathgene3d
GCH1__GTP cyclohydrolase I domain	ENST00000491895	chr14	-	54842008	54902826	54902663	54844017	6	54902321,54865327,54859681,54847099,54845768,54844026	54902447,54865436,54859736,54847130,54845852,54844143	domain	pfam
GCH1__GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase	ENST00000491895	chr14	-	54842008	54902826	54902663	54844017	5	54865327,54859681,54847099,54845768,54844020	54865428,54859736,54847130,54845852,54844143	homologous_superfamily	cathgene3d
GCH1__GTP cyclohydrolase I, conserved site	ENST00000491895	chr14	-	54842008	54902826	54902663	54844017	3	54865348,54847099,54845836	54865398,54847114,54845852	conserved_site	prosite
GALC__Glycoside hydrolase, family 59	ENST00000261304	chr14	-	87837820	87993665	87993164	87934732	17	87992970,87988455,87988144,87986489,87984394,87982205,87976358,87968335,87965505,87963384,87950659,87949845,87947728,87945553,87941395,87939905,87934741	87993110,87988523,87988207,87986602,87984533,87982243,87976488,87968490,87965629,87963511,87950748,87949931,87947878,87945733,87941558,87939981,87934878	family	panther,pfam,prints
GALC__Glycoside hydrolase superfamily	ENST00000261304	chr14	-	87837820	87993665	87993164	87934732	10	87992970,87988455,87988144,87986489,87984394,87982205,87976358,87968335,87965505,87963480	87993002,87988523,87988207,87986602,87984533,87982243,87976488,87968490,87965629,87963511	homologous_superfamily	ssf
GALC__Aldolase-type TIM barrel	ENST00000261304	chr14	-	87837820	87993665	87993164	87934732	6	87988144,87986489,87984394,87982205,87976358,87968427	87988183,87986602,87984533,87982243,87976488,87968490	homologous_superfamily	cathgene3d
GALC__Glycosyl hydrolase family 59, central domain	ENST00000261304	chr14	-	87837820	87993665	87993164	87934732	4	87963384,87950659,87949845,87947801	87963476,87950748,87949931,87947878	domain	pfam
VPS13C__Vacuolar protein sorting-associated protein 13-like, N-terminal domain	ENST00000644861	chr15	-	61852389	62060473	62060374	61854457	5	62060275,62044212,62041324,62034957,62033478	62060368,62044255,62041366,62035052,62033542	domain	pfam
VPS13C__Vacuolar protein sorting-associated protein 13	ENST00000644861	chr15	-	61852389	62060473	62060374	61854457	84	62060275,62044212,62041324,62034957,62033441,62028358,62023780,62023411,62020479,62013933,62013039,62012107,62010472,62008655,62007308,62000564,61991673,61991000,61984857,61983820,61982459,61981342,61978626,61977082,61974288,61973454,61972625,61969299,61967368,61966083,61964699,61963835,61962749,61962371,61961589,61959448,61958608,61954550,61954421,61951824,61950945,61950358,61949443,61947193,61946307,61945715,61941763,61940647,61936597,61934219,61931090,61929501,61927091,61925456,61922397,61921947,61920498,61920067,61919289,61918136,61917341,61915633,61913311,61911840,61910177,61908992,61907264,61890165,61884128,61882596,61881747,61881563,61880843,61880609,61878607,61876973,61875732,61874876,61873246,61871989,61869500,61868659,61863440,61856286	62060344,62044255,62041366,62035052,62033542,62028420,62023845,62023520,62020538,62013992,62013119,62012164,62010599,62008761,62007479,62000626,61991802,61991094,61984999,61984012,61982573,61981478,61978749,61977199,61974417,61973532,61972764,61969452,61967447,61966142,61964861,61963951,61962852,61962538,61961893,61959595,61958716,61954554,61954534,61951980,61951024,61950417,61949605,61947309,61946410,61945882,61942067,61940794,61936750,61934331,61931259,61929748,61927320,61925548,61922762,61922033,61920647,61920331,61919449,61918257,61917635,61916022,61913415,61912004,61910305,61909125,61907390,61890400,61884269,61882736,61881828,61881632,61880954,61880722,61878746,61877054,61875845,61874951,61873409,61872034,61869623,61868773,61863528,61856409	family	panther
VPS13C__Vacuolar protein sorting-associated protein 13, second N-terminal domain	ENST00000644861	chr15	-	61852389	62060473	62060374	61854457	8	62023411,62020479,62013933,62013039,62012107,62010472,62008655,62007359	62023491,62020538,62013992,62013119,62012164,62010599,62008761,62007479	domain	pfam
VPS13C__VPS13, repeated coiled region	ENST00000644861	chr15	-	61852389	62060473	62060374	61854457	14	61983820,61982459,61981342,61978626,61977082,61974327,61962371,61961589,61959448,61958669,61945715,61941763,61940647,61936706	61983900,61982573,61981478,61978749,61977199,61974417,61962448,61961893,61959595,61958716,61945792,61942067,61940794,61936750	domain	pfam
VPS13C__Vacuolar protein sorting-associated protein 13, VPS13 adaptor binding domain	ENST00000644861	chr15	-	61852389	62060473	62060374	61854457	6	61915633,61913311,61911840,61910177,61908992,61907321	61915782,61913415,61912004,61910305,61909125,61907390	domain	pfam
VPS13C__Vacuolar protein sorting-associated protein 13, C-terminal	ENST00000644861	chr15	-	61852389	62060473	62060374	61854457	6	61880609,61878607,61876973,61875732,61874876,61873324	61880641,61878746,61877054,61875845,61874951,61873409	domain	pfam
VPS13C__Autophagy-related, C-terminal	ENST00000644861	chr15	-	61852389	62060473	62060374	61854457	4	61873246,61871989,61869500,61868758	61873308,61872034,61869623,61868773	domain	pfam
SYT17__Synaptotagmin-17	ENST00000355377	chr16	+	19167971	19268332	19168647	19267076	8	19168647,19172760,19173430,19180391,19183528,19223045,19224683,19266880	19168661,19172777,19173578,19180539,19184147,19223165,19224838,19267073	family	panther
SYT17__C2 domain superfamily	ENST00000355377	chr16	+	19167971	19268332	19168647	19267076	6	19183722,19223045,19184139,19223045,19224683,19266880	19184147,19223047,19184147,19223165,19224838,19267061	homologous_superfamily	ssf,cathgene3d
SYT17__C2 domain	ENST00000355377	chr16	+	19167971	19268332	19168647	19267076	4	19183746,19223054,19224683,19266880	19184126,19223165,19224838,19267016	domain	profile,smart,pfam,prints
SYT17__Synaptotagmin	ENST00000355377	chr16	+	19167971	19268332	19168647	19267076	5	19223066,19223111,19224799,19266880,19266900	19223113,19223152,19224838,19266887,19266932	domain	prints
CHD9__Chromodomain-helicase-DNA-binding protein 9	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	30	53156627,53209482,53222644,53226366,53227396,53227548,53228983,53231419,53231647,53235185,53238343,53242840,53245336,53245595,53247293,53249871,53254438,53255600,53262987,53267294,53267927,53273626,53274213,53285596,53286226,53287957,53291725,53292833,53296956,53303720	53157541,53209813,53222755,53226512,53227464,53227603,53229100,53231505,53231784,53235306,53238586,53243016,53245479,53245850,53247503,53250066,53254605,53255779,53263097,53267490,53268126,53273785,53274302,53285699,53286343,53288014,53291767,53293052,53297158,53304477	family	panther
CHD9__Chromo-like domain superfamily	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	6	53227408,53227548,53228983,53229095,53231419,53231647	53227464,53227603,53229061,53229100,53231505,53231751	homologous_superfamily	ssf
CHD9__Chromo/chromo shadow domain	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	6	53227414,53227548,53228983,53231443,53231647,53235185	53227464,53227603,53229076,53231505,53231784,53235190	domain	profile,smart
CHD9__Chromo domain	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	5	53227423,53227548,53228983,53231452,53231647	53227464,53227603,53229064,53231505,53231751	domain	pfam
CHD9__P-loop containing nucleoside triphosphate hydrolase	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	11	53231695,53235185,53238343,53242840,53245336,53245595,53245643,53247293,53249871,53254438,53255600	53231784,53235306,53238586,53243016,53245479,53245639,53245850,53247503,53250066,53254605,53255716	homologous_superfamily	cathgene3d,ssf
CHD9__SNF2-like, N-terminal domain superfamily	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	5	53235230,53238343,53242840,53245336,53245595	53235306,53238586,53243016,53245479,53245666	homologous_superfamily	cathgene3d
CHD9__Helicase superfamily 1/2, ATP-binding domain	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	4	53235239,53238343,53242840,53245336	53235306,53238586,53243016,53245452	domain	profile,smart
CHD9__SNF2, N-terminal	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	5	53235305,53238343,53242840,53245336,53245595	53235306,53238586,53243016,53245479,53245846	domain	pfam
CHD9__Helicase, C-terminal	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	3	53247385,53249871,53254438	53247503,53250066,53254587	domain	profile,pfam,smart
CHD9__BRK domain superfamily	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	5	53314898,53318212,53318254,53321526,53324020	53315044,53318271,53318340,53321630,53324085	homologous_superfamily	cathgene3d,ssf
CHD9__BRK domain	ENST00000447540	chr16	+	53054991	53329150	53156090	53324895	4	53314904,53318212,53318290,53321526	53315044,53318220,53318340,53321612	domain	pfam,smart
CD19__B-lymphocyte antigen CD19	ENST00000538922	chr16	+	28931965	28939342	28932001	28938963	14	28932001,28932346,28932911,28933234,28935444,28936153,28936512,28937023,28937271,28937455,28937624,28937769,28938676,28938872	28932088,28932612,28933114,28933509,28935554,28936201,28936600,28937136,28937375,28937523,28937680,28937825,28938768,28938960	family	panther
CD19__Immunoglobulin-like domain	ENST00000538922	chr16	+	28931965	28939342	28932001	28938963	4	28932058,28932346,28933081,28933234	28932088,28932551,28933114,28933457	domain	pfam,profile
CD19__Immunoglobulin subtype	ENST00000538922	chr16	+	28931965	28939342	28932001	28938963	4	28932067,28932346,28933108,28933234	28932088,28932605,28933114,28933499	domain	smart
CD19__Immunoglobulin-like domain superfamily	ENST00000538922	chr16	+	28931965	28939342	28932001	28938963	4	28932067,28932346,28933108,28933234	28932088,28932608,28933114,28933475	homologous_superfamily	ssf
CD19__Immunoglobulin-like fold	ENST00000538922	chr16	+	28931965	28939342	28932001	28938963	3	28933099,28933234,28935444	28933114,28933509,28935454	homologous_superfamily	cathgene3d
CYLD__CAP Gly-rich domain superfamily	ENST00000427738	chr16	+	50742050	50801935	50749699	50796508	9	50749981,50751604,50751766,50754319,50775166,50779853,50781246,50782325,50784329	50750202,50751777,50751906,50754424,50775167,50780044,50781411,50782466,50784335	homologous_superfamily	cathgene3d,ssf
CYLD__CAP Gly-rich domain	ENST00000427738	chr16	+	50742050	50801935	50749699	50796508	6	50750077,50751604,50751793,50754319,50779940,50781246	50750202,50751708,50751906,50754420,50780044,50781347	domain	smart,profile,prosite,pfam
CYLD__Papain-like cysteine peptidase superfamily	ENST00000427738	chr16	+	50742050	50801935	50749699	50796508	8	50782408,50784329,50786855,50787786,50791558,50792597,50793546,50794212	50782466,50784451,50786946,50787852,50791690,50792705,50793664,50794409	homologous_superfamily	ssf
CYLD__Ubiquitin specific protease domain	ENST00000427738	chr16	+	50742050	50801935	50749699	50796508	9	50782414,50784329,50786855,50787786,50791558,50792597,50793546,50794212,50796324	50782466,50784451,50786946,50787852,50791690,50792705,50793664,50794428,50796487	domain	profile
CYLD__Peptidase C19, ubiquitin carboxyl-terminal hydrolase	ENST00000427738	chr16	+	50742050	50801935	50749699	50796508	8	50782417,50784329,50786855,50787786,50791558,50792597,50793546,50794212	50782466,50784451,50786946,50787852,50791690,50792705,50793664,50794409	domain	pfam
CYLD__Ubiquitin specific protease, conserved site	ENST00000427738	chr16	+	50742050	50801935	50749699	50796508	1	50782417	50782464	conserved_site	prosite
SETD1A__Histone-lysine N-methyltransferase SETD1A	ENST00000262519	chr16	+	30957754	30984664	30958732	30984023	18	30958735,30959091,30961267,30963433,30964094,30964612,30965601,30966884,30967501,30969305,30969602,30971378,30979145,30980485,30980739,30981061,30983635,30983850	30958881,30959186,30961537,30963554,30964323,30965461,30966386,30967060,30967588,30969462,30969689,30971719,30980194,30980657,30980849,30981180,30983772,30984020	family	panther
